project_id,camera_id,camera_name,make,model,serial_number,year_purchased
2004290,2049650,14,Bushnell,Trophy HD Aggressor No-Glow 20MP,,
2004290,2049974,NRC87,RECONYX,PC800 PROFESSIONAL,None,
2004290,2049944,NCSU7,None,None,None,
2004290,2049969,SD15,RECONYX,HC500 HYPERFIRE,None,
2004290,2050029,H500HI12246541,RECONYX,HC500 HYPERFIRE,None,
2004290,2080598,Cam 1C,,,,
2004290,2049923,FWCB 3009,BUSHNELL,None,None,
2004290,2050010,FW2102,Prometheus,BTC6HDPX,None,
2004290,2049872,NRC254,RECONYX,HC500 HYPERFIRE,None,
2004290,2049911,P800FF05154941,RECONYX,PC800 PROFESSIONAL,None,
2004290,2049820,FWCB 1008,BUSHNELL,None,None,
2004290,2049802,P800FF05155053,RECONYX,PC800 PROFESSIONAL,None,
2004290,2078734,SWC_CAM19,,,,
2004290,2049659,36,C1000,CUDDEBACK,None,
2004290,2049646,27,Bushnell,Trophy HD Aggressor No-Glow 20MP,,
2004290,2071437,Browning,BROWNING,BTC5,None,
2004290,2050027,NRC 208,Reconyx,RC55 RAPIDFIRE,None,
2004290,2104464,Plot_12_cam,,,,
2004290,2080652,Cam 16C,,,,
2004290,2049920,ncsu 30,None,None,None,
2004290,2049881,WRC17,None,None,None,
2004290,2049876,NRC 87,RECONYX,PC800 PROFESSIONAL,None,
2004290,2049786,H500HH08217793,RECONYX,HC500 HYPERFIRE,None,
2004290,2049877,wc10,RECONYX,HC500 HYPERFIRE,None,
2004290,2104465,Plot_13_cam,,,,
2004290,2045695,NRC275,RECONYX,HC500 HYPERFIRE,None,
2004290,2080629,Cam 9A,,,,
2004290,2049935,NRC22,None,None,None,
2004290,2049679,48,RECONYX,HC600 HYPERFIRE,None,
2004290,2050007,FWCB1035,BUSHNELL,None,None,
2004290,2050072,NCSU FWCB 1012,BUSHNELL,None,None,
2004290,2050024,365,,,,
2004290,2049777,NRP244,BUSHNELL,None,None,
2004290,2049791,NRC 169,Reconyx,RC55 RAPIDFIRE,None,
2004290,2049796,NRC-208,Reconyx,RC55 RAPIDFIRE,None,
2004290,2049962,ncsu 31,None,None,None,
2004290,2080586,Cam 1B,,,,
2004290,2049760,NCSU21,None,None,None,
2004290,2080634,Cam 10C,,,,
2004290,2049808,174 B,Reconyx,RC55 RAPIDFIRE,None,
2004290,2080643,Cam 13C,,,,
2004290,2050018,NRC178,Reconyx,RC55 RAPIDFIRE,None,
2004290,2049970,NCSU15,None,None,None,
2004290,2050061,FWCB3004,BUSHNELL,None,None,
2004290,2077884,SWC_CAM16,,,,
2004290,2050058,ncsu54,None,None,None,
2004290,2077893,SWC_CAM3,,,,
2004290,2050016,1016,BUSHNELL,None,None,
2004290,2080642,Cam 13B,,,,
2004290,2049778,FWCB 1007,BUSHNELL,None,None,
2004290,2050012,FWCB 1011,BUSHNELL,None,None,
2004290,2049990,NRC 251,RECONYX,HC500 HYPERFIRE,None,
2004290,2049937,NCSU69,None,None,None,
2004290,2050026,NCSU4,None,None,None,
2004290,2049925,NRC266,RECONYX,HC500 HYPERFIRE,None,
2004290,2050060,NCSU 1003,BUSHNELL,None,None,
2004290,2049994,NCSU28,None,None,None,
2004290,2049754,NCSU 6,None,None,None,
2004290,2049764,NRC199,Reconyx,RC55 RAPIDFIRE,None,
2004290,2049950,NRC 29,None,None,None,
2004290,2049860,NRC205,Reconyx,RC55 RAPIDFIRE,None,
2004290,2077262,SW_CAMT1,,,,
2004290,2050032,PR8,Browning,,,
2004290,2077899,SWC_CAM10,,,,
2004290,2049972,NCCC 241,RECONYX,HC500 HYPERFIRE,None,
2004290,2050000,NCSU 42,None,None,None,
2004290,2080624,Cam 7B,,,,
